,Property_Type,Price,Title,Location,Description,Time,Amenities
0,Apartment,"810,000EGP",Prime apartment 81M Ready to move in New capital,"R7, New Capital City, Cairo","2bedrooms,1bathroom,81sqm",Listed 25 days ago,"Unfurnished,Security,Concierge,Study,Walk-in Closet,Pets Allowed,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
1,Apartment,"3,728,147EGP",Ready to move|Ground Apartment over 6Years|October,"Diar 2, 6 October Compounds, 6 October City, Giza","3bedrooms,3bathrooms,172sqm",Listed 9 days ago,"Unfurnished,Security,Private Garden,Children's Pool,Balcony,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
2,Villa,"79,797,888EGP",Luxury Elie Saab villa in cairo gate by emaar,"Cairo Gate, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","5bedrooms,7bathrooms,570sqm",Listed 2 months ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Built in Wardrobes,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
3,Apartment,"8,000,000EGP",Allegria Residence apartment for sale good price.,"Allegria, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","2bedrooms,3bathrooms,158sqm",Listed 11 days ago,"Unfurnished,Security,Pets Allowed,Covered Parking"
4,Villa,"2,164,000EGP",+15%Discount|375m villa|The MarQ|Pay10% from Price,"The MarQ, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,375sqm",Listed 25 days ago,"Unfurnished,Central A/C,Security,Balcony,Shared Gym,Shared Pool,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
5,Apartment,"1,353,000EGP",Own your apartment 165m -second District,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,165sqm",Listed 21 days ago,"Unfurnished,Concierge,Lobby in Building,Balcony,Pets Allowed,Covered Parking"
6,Apartment,"4,950,000EGP",Fully Finished | 4 TH floor |   View Swimming Pool,"90 Avenue, South Investors Area, New Cairo City, Cairo","3bedrooms,4bathrooms,190sqm",Listed 28 days ago,"Unfurnished,Private Jacuzzi,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Pets Allowed"
7,Apartment,"2,800,000EGP",Chance.. apartment For Sale in Taj City new phase,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,165sqm",Listed 10 days ago,"Unfurnished,Security,Children's Pool,Lobby in Building,Balcony,Shared Gym,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
8,Villa,"12,000,000EGP",Standalone + Pool | Fully Furnished + Appliances,"Al Shorouk 2000, El Shorouk Compounds, Shorouk City, Cairo","6bedrooms,6bathrooms,450sqm",Listed 2 months ago,"Furnished,Central A/C,Security,Built in Wardrobes,Balcony,Covered Parking"
9,Townhouse,"10,000,000EGP",prime townhouse corner  with 5% DP over 8 years,"The Crown, Cairo Alexandria Desert Road, 6 October City, Giza","5bedrooms,5bathrooms,220sqm",Listed 4 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
